time,total_energy,kinetic_energy,potential_energy
0.01,2.46703,0.00121719,2.46581
0.02,2.46703,0.00486636,2.46216
0.03,2.46703,0.0109403,2.45609
0.04,2.46703,0.0194271,2.4476
0.05,2.46703,0.0303098,2.43672
0.06,2.46703,0.0435672,2.42346
0.07,2.46703,0.0591729,2.40786
0.08,2.46703,0.0770963,2.38993
0.09,2.46703,0.0973019,2.36973
0.1,2.46703,0.11975,2.34728
0.11,2.46703,0.144396,2.32263
0.12,2.46703,0.171191,2.29584
0.13,2.46703,0.200083,2.26695
0.14,2.46703,0.231015,2.23601
0.15,2.46703,0.263924,2.20311
0.16,2.46703,0.298748,2.16828
0.17,2.46703,0.335416,2.13161
0.18,2.46703,0.373857,2.09317
0.19,2.46703,0.413994,2.05304
0.2,2.46703,0.455749,2.01128
0.21,2.46703,0.499038,1.96799
0.22,2.46703,0.543777,1.92325
0.23,2.46703,0.589877,1.87715
0.24,2.46703,0.637248,1.82978
0.25,2.46703,0.685795,1.78123
0.26,2.46703,0.735423,1.73161
0.27,2.46703,0.786034,1.681
0.28,2.46703,0.837529,1.6295
0.29,2.46703,0.889804,1.57723
0.3,2.46703,0.942759,1.52427
0.31,2.46703,0.996286,1.47074
0.32,2.46703,1.05028,1.41675
0.33,2.46703,1.10464,1.36239
0.34,2.46703,1.15925,1.30778
0.35,2.46703,1.21401,1.25302
0.36,2.46703,1.26881,1.19822
0.37,2.46703,1.32354,1.14349
0.38,2.46703,1.37809,1.08894
0.39,2.46703,1.43235,1.03468
0.4,2.46703,1.48622,0.980808
0.41,2.46703,1.5396,0.927434
0.42,2.46703,1.59236,0.874665
0.43,2.46703,1.64443,0.822604
0.44,2.46703,1.69568,0.771354
0.45,2.46703,1.74601,0.721016
0.46,2.46703,1.79534,0.671689
0.47,2.46703,1.84356,0.623471
0.48,2.46703,1.89057,0.576457
0.49,2.46703,1.93629,0.53074
0.5,2.46703,1.98062,0.48641
0.51,2.46703,2.02348,0.443554
0.52,2.46703,2.06477,0.402257
0.53,2.46703,2.10443,0.362601
0.54,2.46703,2.14237,0.324664
0.55,2.46703,2.17851,0.28852
0.56,2.46703,2.21279,0.254241
0.57,2.46703,2.24513,0.221895
0.58,2.46703,2.27548,0.191545
0.59,2.46703,2.30378,0.163252
0.6,2.46703,2.32996,0.13707
0.61,2.46703,2.35398,0.113053
0.62,2.46703,2.37578,0.091247
0.63,2.46703,2.39533,0.0716952
0.64,2.46703,2.41259,0.0544364
0.65,2.46703,2.42753,0.0395044
0.66,2.46703,2.4401,0.0269289
0.67,2.46703,2.45029,0.0167347
0.68,2.46703,2.45809,0.00894177
0.69,2.46703,2.46346,0.0035656
0.7,2.46703,2.46641,0.00061677
0.71,2.46703,2.46693,0.000101106
0.72,2.46703,2.46501,0.00201962
0.73,2.46703,2.46066,0.00636854
0.74,2.46703,2.45389,0.0131393
0.75,2.46703,2.44471,0.0223184
0.76,2.46703,2.43314,0.033888
0.77,2.46703,2.4192,0.047825
0.78,2.46703,2.40293,0.064102
0.79,2.46703,2.38434,0.0826869
0.8,2.46703,2.36349,0.103543
0.81,2.46703,2.3404,0.126629
0.82,2.46703,2.31513,0.1519
0.83,2.46703,2.28772,0.179305
0.84,2.46703,2.25824,0.208791
0.85,2.46703,2.22673,0.240299
0.86,2.46703,2.19326,0.273767
0.87,2.46703,2.1579,0.309129
0.88,2.46703,2.12071,0.346316
0.89,2.46703,2.08178,0.385253
0.9,2.46703,2.04116,0.425865
0.91,2.46703,1.99896,0.46807
0.92,2.46703,1.95524,0.511786
0.93,2.46703,1.9101,0.556927
0.94,2.46703,1.86363,0.603403
0.95,2.46703,1.81591,0.651122
0.96,2.46703,1.76704,0.699991
0.97,2.46703,1.71712,0.749912
0.98,2.46703,1.66624,0.800788
0.99,2.46703,1.61451,0.852518
1,2.46703,1.56203,0.905
1.01,2.46703,1.5089,0.95813
1.02,2.46703,1.45523,1.0118
1.03,2.46703,1.40111,1.06592
1.04,2.46703,1.34667,1.12036
1.05,2.46703,1.29201,1.17502
1.06,2.46703,1.23723,1.2298
1.07,2.46703,1.18244,1.28459
1.08,2.46703,1.12775,1.33928
1.09,2.46703,1.07327,1.39376
1.1,2.46703,1.01911,1.44792
1.11,2.46703,0.96537,1.50166
1.12,2.46703,0.91216,1.55487
1.13,2.46703,0.859584,1.60745
1.14,2.46703,0.807747,1.65928
1.15,2.46703,0.756749,1.71028
1.16,2.46703,0.706692,1.76034
1.17,2.46703,0.657675,1.80935
1.18,2.46703,0.609795,1.85723
1.19,2.46703,0.563145,1.90388
1.2,2.46703,0.517819,1.94921
1.21,2.46703,0.473904,1.99313
1.22,2.46703,0.431489,2.03554
1.23,2.46703,0.390657,2.07637
1.24,2.46703,0.351488,2.11554
1.25,2.46703,0.31406,2.15297
1.26,2.46703,0.278447,2.18858
1.27,2.46703,0.244718,2.22231
1.28,2.46703,0.212941,2.25409
1.29,2.46703,0.183178,2.28385
1.3,2.46703,0.155487,2.31154
1.31,2.46703,0.129925,2.3371
1.32,2.46703,0.10654,2.36049
1.33,2.46703,0.0853794,2.38165
1.34,2.46703,0.0664847,2.40054
1.35,2.46703,0.0498931,2.41714
1.36,2.46703,0.0356375,2.43139
1.37,2.46703,0.0237459,2.44328
1.38,2.46703,0.0142418,2.45279
1.39,2.46703,0.00714398,2.45989
1.4,2.46703,0.00246647,2.46456
1.41,2.46703,0.000218462,2.46681
1.42,2.46703,0.000404409,2.46663
1.43,2.46703,0.00302394,2.46401
1.44,2.46703,0.00807189,2.45896
1.45,2.46703,0.0155383,2.45149
1.46,2.46703,0.0254084,2.44162
1.47,2.46703,0.0376627,2.42937
1.48,2.46703,0.0522772,2.41475
1.49,2.46703,0.0692228,2.39781
1.5,2.46703,0.0884662,2.37856
1.51,2.46703,0.109969,2.35706
1.52,2.46703,0.13369,2.33334
1.53,2.46703,0.159581,2.30745
1.54,2.46703,0.187591,2.27944
1.55,2.46703,0.217666,2.24936
1.56,2.46703,0.249746,2.21728
1.57,2.46703,0.283767,2.18326
1.58,2.46703,0.319662,2.14737
1.59,2.46703,0.357361,2.10967
1.6,2.46703,0.396789,2.07024
1.61,2.46703,0.437868,2.02916
1.62,2.46703,0.480518,1.98651
1.63,2.46703,0.524653,1.94238
1.64,2.46703,0.570188,1.89684
1.65,2.46703,0.617031,1.85
1.66,2.46703,0.665092,1.80194
1.67,2.46703,0.714274,1.75276
1.68,2.46703,0.764481,1.70255
1.69,2.46703,0.815613,1.65142
1.7,2.46703,0.86757,1.59946
1.71,2.46703,0.92025,1.54678
1.72,2.46703,0.973548,1.49348
1.73,2.46703,1.02736,1.43967
1.74,2.46703,1.08158,1.38545
1.75,2.46703,1.13609,1.33094
1.76,2.46703,1.1908,1.27623
1.77,2.46703,1.2456,1.22143
1.78,2.46703,1.30037,1.16666
1.79,2.46703,1.35501,1.11202
1.8,2.46703,1.4094,1.05763
