time,total_energy,kinetic_energy,potential_energy
0.1,2.46703,0.1188,2.34823
0.2,2.46703,0.452315,2.01471
0.3,2.46703,0.936306,1.53072
0.4,2.46703,1.47754,0.989485
0.5,2.46703,1.97178,0.495252
0.6,2.46703,2.32381,0.143222
0.7,2.46703,2.46583,0.00120435
0.8,2.46703,2.37048,0.0965539
0.9,2.46703,2.05612,0.410905
1,2.46703,1.58332,0.883706
1.1,2.46703,1.04314,1.42389
1.2,2.46703,0.53963,1.9274
1.3,2.46703,0.169774,2.29726
1.4,2.46703,0.00481504,2.46221
1.5,2.46703,0.0765283,2.3905
1.6,2.46703,0.3711,2.09593
1.7,2.46703,0.83179,1.63524
1.8,2.46703,1.36986,1.09717
1.9,2.46703,1.88167,0.585362
